"src_schema","src_table","src_column","tgt_schema","tgt_table","tgt_pk","total_distinct_sampled","matched_on_parent","coverage","rel_exemplo"
"public","grupo1","planoc","public","planoc","planoc","28","28","1.0000","grupo1[planoc] -> planoc[planoc]"
"public","insmov","instrument","public","instrume","instrument","1","1","1.0000","insmov[instrument] -> instrume[instrument]"
"public","intlimit","deposito","public","deposito","deposito","5","5","1.0000","intlimit[deposito] -> deposito[deposito]"
"public","intmatr","operacao","public","opera","operacao","171","171","1.0000","intmatr[operacao] -> opera[operacao]"
"public","inventa","invunimed","public","unimed","unimedida","1","1","1.0000","inventa[invunimed] -> unimed[unimedida]"
"public","inventa","produto","public","produto","produto","1","1","1.0000","inventa[produto] -> produto[produto]"
"public","lacon","ccusto","public","ccusto","ccusto","5","5","1.0000","lacon[ccusto] -> ccusto[ccusto]"
"public","lacon","planoc","public","planoc","planoc","344","344","1.0000","lacon[planoc] -> planoc[planoc]"
"public","lcempre1","lcecidade","public","cidade","cidade","3","3","1.0000","lcempre1[lcecidade] -> cidade[cidade]"
"public","lcempre1","lcempresa","public","lcempres","lcempresa","4","4","1.0000","lcempre1[lcempresa] -> lcempres[lcempresa]"
"public","lcempre1","lcempresa","public","empresa","empresa","4","4","1.0000","lcempre1[lcempresa] -> empresa[empresa]"
"public","lcempres","lcempresa","public","empresa","empresa","84","84","1.0000","lcempres[lcempresa] -> empresa[empresa]"
"public","lcpedid","lcpcidade","public","cidade","cidade","3","3","1.0000","lcpedid[lcpcidade] -> cidade[cidade]"
"public","lcpedid","lcpestado","public","estado","estado","2","2","1.0000","lcpedid[lcpestado] -> estado[estado]"
"public","maquina","ccusto","public","ccusto","ccusto","2","2","1.0000","maquina[ccusto] -> ccusto[ccusto]"
"public","mdfdoc","mdfcontmdf","public","mdf","mdfcontmdf","5491","5491","1.0000","mdfdoc[mdfcontmdf] -> mdf[mdfcontmdf]"
"public","mdfevent","mdfcontmdf","public","mdf","mdfcontmdf","5472","5472","1.0000","mdfevent[mdfcontmdf] -> mdf[mdfcontmdf]"
"public","metas","vendedor","public","vendedor","vendedor","32","32","1.0000","metas[vendedor] -> vendedor[vendedor]"
"public","nfnarra","nfproduto","public","produto","produto","10000","10000","1.0000","nfnarra[nfproduto] -> produto[produto]"
"public","notpara1","notparam","public","notparam","notparam","1","1","1.0000","notpara1[notparam] -> notparam[notparam]"
"public","notprcfo","notparam","public","notparam","notparam","1","1","1.0000","notprcfo[notparam] -> notparam[notparam]"
"public","notreten","ntrempresa","public","empresa","empresa","439","439","1.0000","notreten[ntrempresa] -> empresa[empresa]"
"public","obscomp","compra","public","compra","compra","2","2","1.0000","obscomp[compra] -> compra[compra]"
"public","observa1","observa","public","observa","observa","38","38","1.0000","observa1[observa] -> observa[observa]"
"public","obsoper1","oboopera","public","opera","operacao","9","9","1.0000","obsoper1[oboopera] -> opera[operacao]"
"public","obsopera","oboopera","public","opera","operacao","9","9","1.0000","obsopera[oboopera] -> opera[operacao]"
"public","ordem","tipoord","public","tipoord","tipoord","2","2","1.0000","ordem[tipoord] -> tipoord[tipoord]"
"public","ordem1","ordem","public","ordem","ordem","745","745","1.0000","ordem1[ordem] -> ordem[ordem]"
"public","ordemlev","ordem","public","ordem","ordem","1","1","1.0000","ordemlev[ordem] -> ordem[ordem]"
"public","paramgx1","paramgxr","public","paramgxr","paramgxr","1","1","1.0000","paramgx1[paramgxr] -> paramgxr[paramgxr]"
"public","parbolet","bbanco","public","banco","banco","1","1","1.0000","parbolet[bbanco] -> banco[banco]"
"public","pareqde1","notparam","public","notparam","notparam","1","1","1.0000","pareqde1[notparam] -> notparam[notparam]"
"public","pareqdev","notparam","public","notparam","notparam","1","1","1.0000","pareqdev[notparam] -> notparam[notparam]"
"public","parequsl","notparam","public","notparam","notparam","1","1","1.0000","parequsl[notparam] -> notparam[notparam]"
"public","parpispl","ppisplanoc","public","planoc","planoc","6","6","1.0000","parpispl[ppisplanoc] -> planoc[planoc]"
"public","pbanco","banco","public","banco","banco","47","47","1.0000","pbanco[banco] -> banco[banco]"
"public","pbancon","pscbanco","public","banco","banco","45","45","1.0000","pbancon[pscbanco] -> banco[banco]"
"public","peddesco","pddpedido","public","pedido","pedido","907","907","1.0000","peddesco[pddpedido] -> pedido[pedido]"
"public","pedido","tipoped","public","tipoped","tipoped","8","8","1.0000","pedido[tipoped] -> tipoped[tipoped]"
"public","planilha","plamaquina","public","maquina","maquina","2","2","1.0000","planilha[plamaquina] -> maquina[maquina]"
"public","planilha","plaordem","public","ordem","ordem","10000","10000","1.0000","planilha[plaordem] -> ordem[ordem]"
"public","pmetas","pmeproduto","public","produto","produto","5","5","1.0000","pmetas[pmeproduto] -> produto[produto]"
"public","possali1","deposito","public","deposito","deposito","5","5","1.0000","possali1[deposito] -> deposito[deposito]"
"public","possalim","produto","public","produto","produto","10000","10000","1.0000","possalim[produto] -> produto[produto]"
"public","preensai","prtipo","public","prtipo","prtipo","45","45","1.0000","preensai[prtipo] -> prtipo[prtipo]"
"public","previcom","compra","public","compra","compra","175","175","1.0000","previcom[compra] -> compra[compra]"
"public","previpg","pedido","public","pedido","pedido","7","7","1.0000","previpg[pedido] -> pedido[pedido]"
"public","process1","produto","public","produto","produto","1","1","1.0000","process1[produto] -> produto[produto]"
"public","processo","maquina","public","maquina","maquina","42","42","1.0000","processo[maquina] -> maquina[maquina]"
"public","processo","produto","public","produto","produto","10000","10000","1.0000","processo[produto] -> produto[produto]"
"public","produto","grupo","public","grupo","grupo","163","163","1.0000","produto[grupo] -> grupo[grupo]"
"public","produto","unimedida","public","unimed","unimedida","32","32","1.0000","produto[unimedida] -> unimed[unimedida]"
"public","produto1","produto","public","produto","produto","2","2","1.0000","produto1[produto] -> produto[produto]"
"public","produto2","produto","public","produto","produto","2","2","1.0000","produto2[produto] -> produto[produto]"
"public","produtol","produto","public","produto","produto","2","2","1.0000","produtol[produto] -> produto[produto]"
"public","proparam","planoc","public","planoc","planoc","1","1","1.0000","proparam[planoc] -> planoc[planoc]"
"public","prtipo1","prtipo","public","prtipo","prtipo","521","521","1.0000","prtipo1[prtipo] -> prtipo[prtipo]"
"public","reginsp1","regiunimed","public","unimed","unimedida","1","1","1.0000","reginsp1[regiunimed] -> unimed[unimedida]"
"public","relbalan","ccustocde","public","ccusto","ccusto","1","1","1.0000","relbalan[ccustocde] -> ccusto[ccusto]"
"public","relbalan","ccustocor","public","ccusto","ccusto","4","4","1.0000","relbalan[ccustocor] -> ccusto[ccusto]"
